US Dollar,USD,10870.0,10810.0,10837.66,Tue Jan 04 22:28:02 UZT 2022
Russian Rouble,RUB,160.0,110.0,147.07,Tue Jan 04 22:28:02 UZT 2022
British Pound,GBP,15100.0,13900.0,14536.55,Tue Jan 04 22:28:02 UZT 2022
Swiss Franc,CHF,12400.0,11200.0,11790.32,Tue Jan 04 22:28:02 UZT 2022
Japanese Yen,JPY,105.0,80.0,94.24,Tue Jan 04 22:28:02 UZT 2022
Kazakhstan Tenge,KZT,30.0,12.0,24.87,Tue Jan 04 22:28:02 UZT 2022
